idx,name
0,left_hip_pitch_joint
1,right_hip_pitch_joint
2,torso_joint
3,left_hip_roll_joint
4,right_hip_roll_joint
5,left_shoulder_pitch_joint
6,right_shoulder_pitch_joint
7,left_hip_yaw_joint
8,right_hip_yaw_joint
9,left_shoulder_roll_joint
10,right_shoulder_roll_joint
11,left_knee_joint
12,right_knee_joint
13,left_shoulder_yaw_joint
14,right_shoulder_yaw_joint
15,left_ankle_pitch_joint
16,right_ankle_pitch_joint
17,left_elbow_pitch_joint
18,right_elbow_pitch_joint
19,left_ankle_roll_joint
20,right_ankle_roll_joint
21,left_elbow_roll_joint
22,right_elbow_roll_joint
23,left_zero_joint
24,left_three_joint
25,left_five_joint
26,right_zero_joint
27,right_three_joint
28,right_five_joint
29,left_one_joint
30,left_four_joint
31,left_six_joint
32,right_one_joint
33,right_four_joint
34,right_six_joint
35,left_two_joint
36,right_two_joint
