tag,seed,return,steps,success,fail_nan,timeout,terminated,truncated,mean_action_norm,mean_jerk_norm,max_action_norm,max_jerk_norm,min_dist_tcp_apple,min_dist_apple_bowl,ever_grasped,policy,fail_type
random,43,-0.10496971654356457,300,False,False,True,False,True,0.7023978585004806,0.9815942313273748,0.8215112686157227,1.2968339920043945,,0.4173293113708496,False,random,timeout
random,46,0.3327628410042962,300,False,False,True,False,True,0.7000470850865046,0.9933212794860204,0.8181345462799072,1.285021185874939,,0.40555521845817566,False,random,timeout
random,45,0.007379869465239608,300,False,False,True,False,True,0.6975636098782222,0.989354443748792,0.8380689024925232,1.2690716981887817,,0.38606736063957214,False,random,timeout
random,42,0.08294360550075908,300,False,False,True,False,True,0.6995665792624156,0.9825982052087784,0.886488139629364,1.2617548704147339,,0.39762628078460693,False,random,timeout
random,49,0.01897990306434849,300,False,False,True,False,True,0.7027542243401209,0.9892044272025426,0.8310820460319519,1.260621428489685,,0.3954601585865021,False,random,timeout
random,50,0.1958873932962888,300,False,False,True,False,True,0.6968806177377701,0.9789587187767029,0.8266978859901428,1.2486977577209473,,0.41911014914512634,False,random,timeout
random,51,0.0693236197245577,300,False,False,True,False,True,0.6996034493048986,0.9910791399081548,0.8557901978492737,1.2437635660171509,,0.39770326018333435,False,random,timeout
random,44,0.30318848007982524,300,False,False,True,False,True,0.699115530649821,0.9901830685138703,0.8656997084617615,1.243431806564331,,0.3991912305355072,False,random,timeout
random,47,-0.11520958144205906,300,False,False,True,False,True,0.7023382318019867,0.9915288432439169,0.8230698108673096,1.2290223836898804,,0.40806663036346436,False,random,timeout
random,48,0.14922571736973822,300,False,False,True,False,True,0.6982947878042857,0.9906061345338821,0.8362942934036255,1.1845775842666626,,0.37412574887275696,False,random,timeout
random_smooth,51,0.24794307071715593,300,False,False,True,False,True,0.23854992906252542,0.1488184972355763,0.6506748795509338,0.4380078613758087,,0.39770326018333435,False,random_smooth,timeout
random_smooth,46,0.38079744949936867,300,False,False,True,False,True,0.23666257078448932,0.15018449380993842,0.5772560238838196,0.42549172043800354,,0.40555521845817566,False,random_smooth,timeout
random_smooth,43,0.31233174016233534,300,False,False,True,False,True,0.24074761018157007,0.14873208172619343,0.5893599987030029,0.42045047879219055,,0.4173293113708496,False,random_smooth,timeout
random_smooth,42,0.15014467733271886,300,False,False,True,False,True,0.23636878286798796,0.1488274239252011,0.5859408378601074,0.41135796904563904,,0.39762628078460693,False,random_smooth,timeout
random_smooth,50,0.3387696052668616,300,False,False,True,False,True,0.2338937787214915,0.14857145749032497,0.500048041343689,0.4109201729297638,,0.41911014914512634,False,random_smooth,timeout
random_smooth,45,0.5254157884046435,300,False,False,True,False,True,0.23732889533042908,0.1489452455441157,0.5183947086334229,0.40287888050079346,,0.38606736063957214,False,random_smooth,timeout
random_smooth,47,0.3083405008073896,300,False,False,True,False,True,0.2402323900659879,0.1483311696102222,0.6146542429924011,0.40092217922210693,,0.40806663036346436,False,random_smooth,timeout
random_smooth,44,0.37481624621432275,300,False,False,True,False,True,0.2374431784451008,0.149459637204806,0.5568422675132751,0.39254528284072876,,0.3991912305355072,False,random_smooth,timeout
random_smooth,48,0.44216661364771426,300,False,False,True,False,True,0.23905613039930662,0.14942963160574435,0.4251675307750702,0.3752327561378479,,0.37412574887275696,False,random_smooth,timeout
random_smooth,49,0.12888896490403567,300,False,False,True,False,True,0.23686634689569475,0.14822621618707973,0.5285751223564148,0.3696381449699402,,0.3954601585865021,False,random_smooth,timeout
naive_arm_extend,42,0.059515460762327166,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.39762628078460693,False,naive_arm_extend,timeout
naive_arm_extend,43,0.058415051918871086,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.4173293113708496,False,naive_arm_extend,timeout
naive_arm_extend,44,0.1320410747118217,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.3991912305355072,False,naive_arm_extend,timeout
naive_arm_extend,45,0.09406468011917468,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.38606736063957214,False,naive_arm_extend,timeout
naive_arm_extend,46,0.09020468983041496,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.40555521845817566,False,naive_arm_extend,timeout
naive_arm_extend,47,0.09686653313400484,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.40806663036346436,False,naive_arm_extend,timeout
naive_arm_extend,48,0.09749840732757775,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.37412574887275696,False,naive_arm_extend,timeout
naive_arm_extend,49,0.11256283281005608,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.3954601585865021,False,naive_arm_extend,timeout
naive_arm_extend,50,0.07278491977677959,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.41911014914512634,False,naive_arm_extend,timeout
naive_arm_extend,51,0.08222757209568954,300,False,False,True,False,True,0.05000000445793072,0.00016666668156782786,0.05000000447034836,0.05000000074505806,,0.39770326018333435,False,naive_arm_extend,timeout
